Instrument,File,Time,Chord,Channel
Double Bass,Double Bass-9.wav,5,A:min,Channel 1
Double Bass,Double Bass-9.wav,6,E:min,Channel 1
Double Bass,Double Bass-9.wav,7,B:maj,Channel 1
Double Bass,Double Bass-9.wav,8,A:maj,Channel 1
Double Bass,Double Bass-9.wav,9,E:maj,Channel 1
Double Bass,Double Bass-9.wav,10,C:maj,Channel 1
Double Bass,Double Bass-9.wav,0,D#:maj,Channel 2
Double Bass,Double Bass-9.wav,1,D#:maj,Channel 2
Double Bass,Double Bass-9.wav,2,A:min,Channel 2
Double Bass,Double Bass-9.wav,3,A:min,Channel 2
Double Bass,Double Bass-9.wav,4,D:maj,Channel 2
Double Bass,Double Bass-9.wav,5,A:min,Channel 2
Double Bass,Double Bass-9.wav,6,E:min,Channel 2
Double Bass,Double Bass-9.wav,7,B:maj,Channel 2
Double Bass,Double Bass-9.wav,8,A:maj,Channel 2
Double Bass,Double Bass-9.wav,9,E:maj,Channel 2
Double Bass,Double Bass-9.wav,10,C:maj,Channel 2
Double Bass,Double Bass-10.wav,0,F#:maj,Channel 1
Double Bass,Double Bass-10.wav,1,F#:maj,Channel 1
Double Bass,Double Bass-10.wav,2,F:maj,Channel 1
Double Bass,Double Bass-10.wav,3,G:maj,Channel 1
Double Bass,Double Bass-10.wav,4,G:maj,Channel 1
Double Bass,Double Bass-10.wav,5,D:min,Channel 1
Double Bass,Double Bass-10.wav,6,D:min,Channel 1
Double Bass,Double Bass-10.wav,7,D:min,Channel 1
Double Bass,Double Bass-10.wav,8,E:min,Channel 1
Double Bass,Double Bass-10.wav,9,E:min,Channel 1
Double Bass,Double Bass-10.wav,10,A:min,Channel 1
Double Bass,Double Bass-10.wav,0,F#:maj,Channel 2
Double Bass,Double Bass-10.wav,1,F#:maj,Channel 2
Double Bass,Double Bass-10.wav,2,F:maj,Channel 2
Double Bass,Double Bass-10.wav,3,G:maj,Channel 2
Double Bass,Double Bass-10.wav,4,G:maj,Channel 2
Double Bass,Double Bass-10.wav,5,D:min,Channel 2
Double Bass,Double Bass-10.wav,6,D:min,Channel 2
Double Bass,Double Bass-10.wav,7,D:min,Channel 2
Double Bass,Double Bass-10.wav,8,E:min,Channel 2
Double Bass,Double Bass-10.wav,9,E:min,Channel 2
Double Bass,Double Bass-10.wav,10,A:min,Channel 2
Double Bass,Double Bass-11.wav,0,G:min,Channel 1
Double Bass,Double Bass-11.wav,1,G:min,Channel 1
Double Bass,Double Bass-11.wav,2,G:min,Channel 1
Double Bass,Double Bass-11.wav,3,G:min,Channel 1
Double Bass,Double Bass-11.wav,4,G:min,Channel 1
Double Bass,Double Bass-11.wav,5,G#:min,Channel 1
Double Bass,Double Bass-11.wav,6,E:min,Channel 1
Double Bass,Double Bass-11.wav,7,E:min,Channel 1
Double Bass,Double Bass-11.wav,8,E:min,Channel 1
Double Bass,Double Bass-11.wav,9,E:min,Channel 1
Double Bass,Double Bass-11.wav,10,G#:maj,Channel 1
Double Bass,Double Bass-11.wav,0,G:min,Channel 2
Double Bass,Double Bass-11.wav,1,G:min,Channel 2
Double Bass,Double Bass-11.wav,2,G:min,Channel 2
Double Bass,Double Bass-11.wav,3,G:min,Channel 2
Double Bass,Double Bass-11.wav,4,G:min,Channel 2
Double Bass,Double Bass-11.wav,5,G#:min,Channel 2
Double Bass,Double Bass-11.wav,6,E:min,Channel 2
Double Bass,Double Bass-11.wav,7,E:min,Channel 2
Double Bass,Double Bass-11.wav,8,E:min,Channel 2
Double Bass,Double Bass-11.wav,9,E:min,Channel 2
Double Bass,Double Bass-11.wav,10,G#:maj,Channel 2
Harp,Harp-1.wav,0,A:min,Channel 1
Harp,Harp-1.wav,1,D:min,Channel 1
Harp,Harp-1.wav,2,F:maj,Channel 1
Harp,Harp-1.wav,3,D:min,Channel 1
Harp,Harp-1.wav,4,G:maj,Channel 1
Harp,Harp-1.wav,5,G:maj,Channel 1
Harp,Harp-1.wav,6,G:maj,Channel 1
Harp,Harp-1.wav,7,C:maj,Channel 1
Harp,Harp-1.wav,8,C:maj,Channel 1
Harp,Harp-1.wav,9,C:maj,Channel 1
Harp,Harp-1.wav,10,C:maj,Channel 1
Harp,Harp-1.wav,0,A:min,Channel 2
Harp,Harp-1.wav,1,D:min,Channel 2
Harp,Harp-1.wav,2,D:min,Channel 2
Harp,Harp-1.wav,3,D:min,Channel 2
Harp,Harp-1.wav,4,G:maj,Channel 2
Harp,Harp-1.wav,5,G:maj,Channel 2
Harp,Harp-1.wav,6,G:maj,Channel 2
